ZIP Code,Type,City,County,Area Codes
ZIP Code 74131,Standard,Tulsa,Creek,918
ZIP Code 74132,Standard,Tulsa,Tulsa,918
ZIP Code 74133,Standard,Tulsa,Tulsa,918
ZIP Code 74134,Standard,Tulsa,Tulsa,918
ZIP Code 74135,Standard,Tulsa,Tulsa,918
ZIP Code 74136,Standard,Tulsa,Tulsa,918
ZIP Code 74137,Standard,Tulsa,Tulsa,918
ZIP Code 74141,Unique,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74145,Standard,Tulsa,Tulsa,918
ZIP Code 74146,Standard,Tulsa,Tulsa,918
ZIP Code 74147,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74148,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74149,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74150,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74152,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74153,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74155,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74156,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74157,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74158,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74159,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74169,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74170,P.O. Box,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74171,Unique,Tulsa,Tulsa,918
ZIP Code 74172,Standard,Tulsa,Tulsa,918ÿ/ÿ539
ZIP Code 74182,Unique,Tulsa,Tulsa,918ÿ/ÿ539
